family,condition,metric,live_turn,episodes_with_event,denominator,percent,episodes_observed_at_this_live_turn
GPT,working,first_cited_coordination_live_turn,0,0,50,0.0,50
GPT,working,first_cited_coordination_live_turn,1,6,50,12.0,50
GPT,working,first_cited_coordination_live_turn,2,7,50,14.0,50
GPT,working,first_cited_coordination_live_turn,3,7,50,14.0,50
GPT,working,first_cited_coordination_live_turn,4,8,50,16.0,50
GPT,working,first_cited_coordination_live_turn,5,10,50,20.0,50
GPT,working,first_cited_coordination_live_turn,6,14,50,28.0,50
GPT,working,first_cited_coordination_live_turn,7,22,50,44.0,50
GPT,working,first_cited_coordination_live_turn,8,25,50,50.0,50
GPT,working,first_cited_coordination_live_turn,9,31,50,62.0,50
GPT,working,first_cited_coordination_live_turn,10,33,50,66.0,50
GPT,working,first_cited_coordination_live_turn,11,33,50,66.0,50
GPT,working,first_cited_coordination_live_turn,12,35,50,70.0,50
GPT,working,first_cited_coordination_live_turn,13,39,50,78.0,50
GPT,working,first_cited_coordination_live_turn,14,41,50,82.0,50
GPT,working,first_cited_coordination_live_turn,15,41,50,82.0,50
GPT,working,first_cited_coordination_live_turn,16,43,50,86.0,50
GPT,working,first_cited_coordination_live_turn,17,43,50,86.0,50
GPT,working,first_cited_coordination_live_turn,18,46,50,92.0,50
GPT,working,first_cited_coordination_live_turn,19,47,50,94.0,50
GPT,working,first_cited_coordination_live_turn,20,47,50,94.0,50
GPT,working,first_cited_coordination_live_turn,21,47,50,94.0,50
GPT,working,first_cited_coordination_live_turn,22,47,50,94.0,50
GPT,working,first_cited_coordination_live_turn,23,47,50,94.0,50
GPT,working,first_cited_coordination_live_turn,24,47,50,94.0,49
GPT,working,first_cited_coordination_live_turn,25,47,50,94.0,49
GPT,working,first_cited_coordination_live_turn,26,47,50,94.0,49
GPT,working,first_cited_coordination_live_turn,27,47,50,94.0,49
GPT,working,first_cited_coordination_live_turn,28,47,50,94.0,49
GPT,working,first_cited_coordination_live_turn,29,47,50,94.0,49
GPT,working,first_cited_coordination_live_turn,30,47,50,94.0,49
GPT,working,first_cited_coordination_live_turn,31,47,50,94.0,49
GPT,working,first_cited_coordination_live_turn,32,47,50,94.0,49
GPT,working,first_cited_coordination_live_turn,33,47,50,94.0,49
GPT,working,first_cited_coordination_live_turn,34,47,50,94.0,48
GPT,working,first_cited_coordination_live_turn,35,47,50,94.0,46
GPT,working,first_cited_coordination_live_turn,36,47,50,94.0,44
GPT,working,first_cited_coordination_live_turn,37,47,50,94.0,44
GPT,working,first_cited_coordination_live_turn,38,47,50,94.0,41
GPT,working,first_cited_coordination_live_turn,39,47,50,94.0,38
GPT,working,first_cited_coordination_live_turn,40,47,50,94.0,35
GPT,working,first_cited_coordination_live_turn,41,47,50,94.0,32
GPT,working,first_cited_coordination_live_turn,42,47,50,94.0,31
GPT,working,first_cited_coordination_live_turn,43,47,50,94.0,27
GPT,working,first_cited_coordination_live_turn,44,47,50,94.0,22
GPT,working,first_cited_coordination_live_turn,45,47,50,94.0,20
GPT,working,first_cited_coordination_live_turn,46,47,50,94.0,19
GPT,working,first_cited_coordination_live_turn,47,47,50,94.0,17
GPT,working,first_cited_coordination_live_turn,48,47,50,94.0,12
GPT,working,first_cited_coordination_live_turn,49,47,50,94.0,7
GPT,working,first_cited_coordination_live_turn,50,47,50,94.0,5
GPT,working,first_cited_coordination_live_turn,51,47,50,94.0,5
GPT,working,first_cited_coordination_live_turn,52,47,50,94.0,5
GPT,working,first_cited_coordination_live_turn,53,47,50,94.0,4
GPT,working,first_cited_coordination_live_turn,54,47,50,94.0,4
GPT,working,first_cited_coordination_live_turn,55,47,50,94.0,4
GPT,working,first_cited_coordination_live_turn,56,47,50,94.0,2
GPT,working,first_cited_coordination_live_turn,57,47,50,94.0,2
GPT,working,first_cited_coordination_live_turn,58,47,50,94.0,2
GPT,working,first_cited_coordination_live_turn,59,47,50,94.0,1
GPT,working,first_cited_coordination_live_turn,60,47,50,94.0,1
GPT,working,first_cited_coordination_live_turn,61,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,62,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,63,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,64,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,65,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,66,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,67,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,68,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,69,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,70,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,71,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,72,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,73,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,74,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,75,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,76,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,77,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,78,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,79,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,80,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,81,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,82,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,83,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,84,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,85,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,86,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,87,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,88,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,89,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,90,47,50,94.0,0
GPT,working,first_cited_coordination_live_turn,91,47,50,94.0,0
